mes,hora,temp_exterior_c,temp_interior_c,temp_ac_c
Enero,07:00,20,23.20966854,22.32016313
Enero,07:15,20,22.70665452,22.17748485
Enero,07:30,20,22.43345896,20.45525005
Enero,07:45,20,21.7568178,21.28832642
Enero,08:00,20,22.5625495,20.56230726
Enero,08:15,20.17470686,21.57739309,20.68952012
Enero,08:30,20,22.44128664,21.60874131
Enero,08:45,20.50888272,23.56424567,22.18828254
Enero,09:00,21.37286563,22.23773138,19.98362576
Enero,09:15,20.80156984,23.139868,21.68666405
Enero,09:30,21.5696718,21.89262689,21.0314001
Enero,09:45,21.70824141,23.51717769,21.42905727
Enero,10:00,22.29157806,22.35888375,21.51362115
Enero,10:15,22.83609174,23.03075786,21.93508312
Enero,10:30,22.80967947,23.22939282,22.01106349
Enero,10:45,22.4793096,22.71809397,21.32477204
Enero,11:00,23.12836804,23.711875,21.84407184
Enero,11:15,23.52720967,23.84556708,23.0486794
Enero,11:30,22.54989667,23.39517831,21.87353856
Enero,11:45,23.83884168,22.00233016,20.45030368
Enero,12:00,24.58639576,22.56939475,20.98833505
Enero,12:15,24.54284089,23.1342091,21.90255764
Enero,12:30,24.38490232,23.35071775,21.95012214
Enero,12:45,24.34620284,22.60359794,20.72631314
Enero,13:00,24.64931089,22.42007182,21.19098959
Enero,13:15,24.64133227,22.75639558,21.18025398
Enero,13:30,25.65069496,23.61541412,21.57496832
Enero,13:45,24.23291022,23.20152956,22.46938852
Enero,14:00,25.01384301,23.43850971,21.21345719
Enero,14:15,25.62426065,24.17264092,21.58740484
Enero,14:30,25.79040395,22.9970451,21.53507161
Enero,14:45,24.88090277,23.04314926,20.9588311
Enero,15:00,24.69025608,22.75735367,21.73057476
Enero,15:15,24.96165687,23.69308843,22.30113604
Enero,15:30,25.62987203,22.88046997,21.28433851
Enero,15:45,24.51338337,23.45111217,21.92350946
Enero,16:00,24.5135079,22.81456409,20.8265199
Enero,16:15,24.96039684,23.13073575,21.8007704
Enero,16:30,24.82934021,23.84296906,21.26092232
Enero,16:45,24.08750134,23.01062671,22.20876601
Enero,17:00,24.87937249,23.34504596,21.17270298
Enero,17:15,24.59666984,24.08417084,22.33658132
Enero,17:30,23.76395153,22.65997863,21.14697462
Enero,17:45,24.08234514,23.59071617,22.57772358
Enero,18:00,23.71771761,24.80777759,22.78923848
Enero,18:15,23.24713486,23.17139977,22.07508365
Enero,18:30,23.71669843,22.64696516,20.85036376
Enero,18:45,23.20070892,23.57391659,21.51554377
Enero,19:00,23.30049879,22.79965796,21.79268047
Enero,19:15,23.10642142,22.61194204,21.03853163
Enero,19:30,23.36826995,22.90384486,21.75715122
Enero,19:45,22.99297508,23.51850094,23.34936417
Enero,20:00,22.8672287,24.03622366,22.44189588
Enero,07:00,20,22.18654074,21.39065849
Enero,07:15,20,21.94082485,19.73455454
Enero,07:30,20,23.13750481,21.72227245
Enero,07:45,20,22.53141154,21.99434209
Enero,08:00,20,23.28965587,21.3626074
Enero,08:15,20,22.31419847,21.95284592
Enero,08:30,20,22.74397805,21.77746021
Enero,08:45,20,22.14193171,21.03796757
Enero,09:00,21.52075867,22.3542125,22.11013381
Enero,09:15,22.04040684,22.62293333,21.92578553
Enero,09:30,22.06756752,22.72113342,21.38525194
Enero,09:45,21.55078353,21.13162593,21.05452973
Enero,10:00,22.17199605,23.05563564,20.17927354
Enero,10:15,22.43842911,23.70307871,21.00409949
Enero,10:30,23.41035474,22.57601775,21.69098123
Enero,10:45,23.3438602,22.78036946,20.98574443
Enero,11:00,23.61660593,24.22318594,21.40215221
Enero,11:15,24.71852777,22.18632184,20.5640742
Enero,11:30,24.25834423,22.76711375,20.92917991
Enero,11:45,24.1767463,23.78831676,21.73259742
Enero,12:00,25.02421295,23.86678576,21.93623125
Enero,12:15,24.56944796,23.32337167,21.40803948
Enero,12:30,25.1136394,24.01571532,21.33376787
Enero,12:45,25.54559706,23.1698807,21.81819515
Enero,13:00,25.84504454,24.494386,21.99650732
Enero,13:15,25.9587347,23.44765734,21.26178272
Enero,13:30,25.87841361,23.32618178,22.69404913
Enero,13:45,25.57312436,23.3457879,21.08815191
Enero,14:00,26.34305623,23.81579126,24.51962581
Enero,14:15,26.22331346,23.62570441,21.03488002
Enero,14:30,25.94386741,23.48413906,21.08167867
Enero,14:45,26.00756902,23.69789912,21.44343506
Enero,15:00,26.19161426,22.87304544,21.07624445
Enero,15:15,26.11731172,23.51419249,21.9620742
Enero,15:30,26.71519357,23.46620228,21.00302514
Enero,15:45,26.17155774,23.48987703,20.99591244
Enero,16:00,26.19353487,24.206347,22.58032804
Enero,16:15,26.06868713,23.36772687,21.26430468
Enero,16:30,25.63853324,23.01380008,21.23539345
Enero,16:45,25.98675352,25.01383238,21.76862347
Enero,17:00,25.5620576,24.57271453,21.28668589
Enero,17:15,24.68407388,21.88497297,20.9300624
Enero,17:30,24.52314282,23.47605024,22.34070461
Enero,17:45,25.0137987,22.5586416,21.35062548
Enero,18:00,23.91236915,24.6606194,22.411205
Enero,18:15,23.56204189,23.71751127,22.80744995
Enero,18:30,23.41635791,22.75939427,21.15916722
Enero,18:45,23.68093606,22.88598366,21.81675817
Enero,19:00,23.71591377,23.72555831,21.35880646
Enero,19:15,22.86098312,23.79691965,21.96721148
Enero,19:30,23.90192285,23.78393108,21.59641217
Enero,19:45,23.9125945,23.90763093,22.94183289
Enero,20:00,23.15327898,23.23853221,22.59559952
Enero,07:00,20,21.37528817,20.5634776
Enero,07:15,20.06242542,23.41145992,20.99241628
Enero,07:30,20,22.7137034,21.45359348
Enero,07:45,20,21.85231403,21.714397
Enero,08:00,20.17811441,21.84044501,20.51238672
Enero,08:15,20.19365759,22.5733082,22.274704
Enero,08:30,20.19183187,22.12089446,20.61017937
Enero,08:45,20.36523253,22.97622972,20.79537869
Enero,09:00,20.48671638,22.67597319,21.54000011
Enero,09:15,21.1889561,22.84942177,21.72417733
Enero,09:30,21.00633856,20.76937546,20.66559701
Enero,09:45,21.94342939,23.00278451,21.47507844
Enero,10:00,22.68172583,23.45928328,21.78952877
Enero,10:15,20.96761861,22.42073387,21.0531767
Enero,10:30,21.50653848,23.06796211,21.2037271
Enero,10:45,21.91156131,23.63018986,22.0434528
Enero,11:00,22.66787196,22.70640184,21.74721055
Enero,11:15,21.84622554,22.58479474,21.43408682
Enero,11:30,21.76857721,22.77707961,21.64293139
Enero,11:45,22.21597492,22.46602176,20.64922549
Enero,12:00,22.67917056,22.80678012,21.10683167
Enero,12:15,22.4512068,23.55338914,21.56221264
Enero,12:30,22.82520839,22.52228605,22.16817635
Enero,12:45,22.6163951,22.85183501,21.12040636
Enero,13:00,22.31859854,23.05217435,21.16712432
Enero,13:15,23.30523478,22.16537009,20.01868148
Enero,13:30,22.86108387,22.57312922,21.37461699
Enero,13:45,23.58803867,23.211837,20.70198214
Enero,14:00,23.45269161,22.56728149,22.04618307
Enero,14:15,23.51827303,23.15976074,21.13657869
Enero,14:30,23.3600794,23.55850755,21.508362
Enero,14:45,23.48972686,22.61959866,21.07985055
Enero,15:00,23.53288883,23.01011867,22.07756963
Enero,15:15,23.7351158,23.54460233,21.14115573
Enero,15:30,22.55615554,21.48390335,20.75454282
Enero,15:45,23.28823637,24.06168217,22.41822218
Enero,16:00,23.52209491,22.06844251,20.48166489
Enero,16:15,22.50836185,23.67881704,22.02013726
Enero,16:30,23.26237276,24.2883424,22.96170395
Enero,16:45,22.73497932,22.94199418,20.64765985
Enero,17:00,22.85681384,22.97440669,21.34687037
Enero,17:15,36.89212667,22.62785422,20.80248467
Enero,17:30,22.46939737,23.49132716,21.35751417
Enero,17:45,22.9044207,23.88375587,23.06410104
Enero,18:00,22.15652632,21.34934493,21.3516249
Enero,18:15,22.63725193,23.05722392,21.01645358
Enero,18:30,23.26327012,23.16009072,21.86783936
Enero,18:45,22.38683669,22.62696913,21.82291776
Enero,19:00,22.85670646,24.46126351,22.10276576
Enero,19:15,21.6175184,22.75633889,21.86220446
Enero,19:30,21.24583814,23.43794243,22.24697776
Enero,19:45,21.42744591,22.33172528,20.53641318
Enero,20:00,21.22576696,21.90548252,21.39056135
Enero,07:00,20,21.06246766,21.31464791
Enero,07:15,20,23.82954329,22.36834983
Enero,07:30,20,23.27235169,20.85977183
Enero,07:45,20,22.63673859,21.42778078
Enero,08:00,20,22.2547253,20.95451473
Enero,08:15,20,22.47679081,22.16545533
Enero,08:30,20,23.72971109,21.32554802
Enero,08:45,20,21.65680931,20.96600881
Enero,09:00,20,23.91149712,23.0599843
Enero,09:15,20.41732514,21.77452223,21.01831876
Enero,09:30,20,22.7934665,21.77787074
Enero,09:45,20.91203609,22.73289662,22.23028991
Enero,10:00,20.43547078,23.22599841,21.74574279
Enero,10:15,21.2317278,22.55870476,20.675371
Enero,10:30,21.11819437,22.90055202,21.56602102
Enero,10:45,20.92278338,22.35726791,22.56552364
Enero,11:00,20.92248617,23.65907441,22.47918858
Enero,11:15,21.7383315,22.99549179,22.18080242
Enero,11:30,22.19381559,22.77392013,21.56740281
Enero,11:45,22.45344061,21.3717375,20.7712046
Enero,12:00,22.570838,22.85101116,21.52864268
Enero,12:15,22.44836463,22.61824191,20.64166805
Enero,12:30,22.97860172,22.64305044,20.66748883
Enero,12:45,23.05767391,24.34256071,22.49536262
